user_id,interest_data_analysis,interest_ai_ml,interest_software_development,interest_web_development,interest_cloud_infrastructure,interest_business_problem_solving,skill_python,skill_sql,skill_statistics,skill_machine_learning,skill_programming_fundamentals,skill_web_development,skill_cloud,skill_devops,skill_data_visualisation,skill_git,preferred_work_type,preferred_learning_style,career_goal,target_role
U00074,5,4,3,1,1,4,3,5,4,1,4,2,2,2,5,2,Analytical,Visual,Work with Data,Data Analyst
U00075,4,1,3,2,2,5,4,4,3,2,4,2,2,1,4,2,Analytical,Practical,Work with Data,Data Analyst
U00076,4,3,1,1,1,4,3,5,4,2,2,1,1,1,3,2,Analytical,Practical,Work with Data,Data Analyst
U00077,5,2,3,1,1,5,5,5,4,2,5,1,1,1,5,3,Analytical,Project-Based,Work with Data,Data Analyst
U00078,4,4,2,2,2,4,4,5,4,1,3,1,3,2,2,3,Analytical,Practical,Work with Data,Data Analyst
U00079,4,3,2,2,1,4,4,4,4,1,4,2,3,2,3,3,Analytical,Project-Based,Exploring Options,Data Analyst
U00080,4,2,3,2,3,4,4,5,4,1,3,2,1,2,4,2,Analytical,Project-Based,Exploring Options,Data Analyst
U00081,5,2,3,3,1,4,5,5,4,2,2,2,1,1,4,3,Analytical,Visual,Work with Data,Data Analyst
U00082,4,3,3,2,1,4,3,5,4,1,3,1,2,2,3,3,Analytical,Project-Based,Exploring Options,Data Analyst
U00083,5,4,3,2,1,5,5,4,4,2,1,1,2,1,5,3,Analytical,Visual,Work with Data,Data Analyst
U00084,5,4,3,2,1,4,4,5,2,1,2,1,1,2,5,2,Analytical,Practical,Exploring Options,Data Analyst
U00085,4,2,3,1,2,4,4,4,4,2,3,2,1,1,4,2,Analytical,Project-Based,Work with Data,Data Analyst
U00086,5,3,3,2,2,4,4,4,4,2,2,2,2,1,2,3,Analytical,Practical,Exploring Options,Data Analyst
U00087,4,3,3,2,2,5,4,5,4,2,3,3,2,2,5,4,Analytical,Practical,Work with Data,Data Analyst
U00088,5,4,3,1,2,5,5,4,4,2,2,1,1,2,4,2,Analytical,Visual,Exploring Options,Data Analyst
U00089,4,2,1,2,2,4,5,5,3,2,3,1,1,2,4,3,Analytical,Project-Based,Exploring Options,Data Analyst
U00090,4,4,2,1,2,4,4,5,4,3,3,3,1,1,4,3,Analytical,Project-Based,Exploring Options,Data Analyst
U00091,5,4,2,2,2,4,3,4,3,2,2,2,2,2,5,2,Analytical,Practical,Exploring Options,Data Analyst
U00092,5,3,2,1,1,4,3,4,3,1,4,1,2,1,5,3,Analytical,Visual,Exploring Options,Data Analyst
U00093,5,4,2,3,1,5,5,5,3,1,2,2,1,1,4,1,Analytical,Visual,Exploring Options,Data Analyst
U00094,5,3,2,1,1,4,4,5,2,1,3,1,1,2,4,2,Analytical,Practical,Exploring Options,Data Analyst
U00095,3,3,4,1,2,4,4,3,3,3,2,2,1,2,3,3,Analytical,Practical,Work with Data,Data Analyst
U00096,5,3,3,1,2,5,4,4,4,3,3,1,2,1,4,2,Analytical,Project-Based,Work with Data,Data Analyst
U00097,4,3,3,1,2,4,3,4,3,3,4,2,3,2,5,2,Analytical,Practical,Work with Data,Data Analyst
U00098,5,3,3,1,1,5,3,5,3,2,5,1,2,3,4,2,Analytical,Project-Based,Work with Data,Data Analyst
U00099,5,4,2,3,1,5,4,5,3,1,5,1,1,2,4,3,Analytical,Practical,Exploring Options,Data Analyst
U00100,5,4,3,1,1,3,3,5,4,1,5,2,2,3,4,2,Analytical,Practical,Work with Data,Data Analyst
U00101,4,3,3,2,2,5,3,5,4,3,4,1,1,1,4,2,Analytical,Project-Based,Exploring Options,Data Analyst
U00102,4,5,2,3,2,4,4,5,3,2,2,2,1,1,3,2,Analytical,Visual,Work with Data,Data Analyst
U00103,5,1,3,1,2,5,4,5,4,1,3,1,2,2,5,3,Analytical,Visual,Work with Data,Data Analyst
U00104,4,4,3,2,1,4,4,4,3,2,2,2,1,2,4,2,Analytical,Practical,Work with Data,Data Analyst
U00105,5,4,2,1,2,5,3,4,3,1,4,1,1,1,3,3,Analytical,Practical,Work with Data,Data Analyst
U00106,5,4,3,1,2,4,4,5,3,2,4,1,1,2,3,4,Analytical,Visual,Exploring Options,Data Analyst
U00107,5,4,3,1,1,4,3,4,3,2,2,2,1,2,3,2,Analytical,Visual,Work with Data,Data Analyst
U00108,5,5,3,1,2,4,3,5,3,2,3,1,2,1,5,2,Analytical,Project-Based,Exploring Options,Data Analyst
U00109,4,3,1,1,2,4,4,4,3,2,4,1,2,1,3,1,Analytical,Visual,Work with Data,Data Analyst
U00110,5,4,3,3,2,5,4,4,3,1,4,2,1,1,5,2,Analytical,Visual,Exploring Options,Data Analyst
U00111,4,3,2,1,2,4,3,4,3,1,4,1,2,1,5,2,Analytical,Practical,Exploring Options,Data Analyst
U00112,5,4,3,3,2,5,3,4,3,2,3,1,1,1,4,3,Analytical,Project-Based,Work with Data,Data Analyst
U00113,5,4,4,2,1,4,4,5,3,3,4,1,2,2,4,3,Analytical,Practical,Exploring Options,Data Analyst
U00114,5,4,2,2,1,5,4,5,4,2,3,1,1,1,3,2,Analytical,Project-Based,Work with Data,Data Analyst
U00115,5,3,3,1,2,4,5,4,2,2,1,2,2,1,3,3,Analytical,Visual,Exploring Options,Data Analyst
U00116,4,3,2,1,2,5,3,4,4,1,4,1,2,1,5,2,Analytical,Project-Based,Work with Data,Data Analyst
U00117,4,4,1,2,1,3,3,4,3,2,3,2,1,2,3,3,Analytical,Project-Based,Work with Data,Data Analyst
U00118,5,3,3,1,1,5,3,4,3,3,4,2,2,1,3,2,Analytical,Visual,Exploring Options,Data Analyst
U00119,4,2,2,3,2,5,4,4,3,1,2,2,1,2,3,3,Analytical,Project-Based,Exploring Options,Data Analyst
U00120,4,4,2,1,2,4,3,4,4,1,2,2,2,1,4,2,Analytical,Practical,Work with Data,Data Analyst
U00121,5,4,2,1,2,5,5,5,4,1,2,1,2,1,3,2,Analytical,Visual,Work with Data,Data Analyst
U00122,5,4,3,2,1,5,4,4,5,2,3,1,1,1,5,2,Analytical,Project-Based,Work with Data,Data Analyst
U00123,5,4,1,1,2,3,4,5,3,2,1,1,1,1,5,3,Analytical,Project-Based,Work with Data,Data Analyst
U00124,5,4,3,1,1,4,2,4,4,1,3,2,2,1,4,3,Analytical,Practical,Work with Data,Data Analyst
U00125,4,4,2,1,1,5,2,5,3,1,3,2,2,3,5,3,Analytical,Project-Based,Exploring Options,Data Analyst
U00126,5,3,3,2,2,4,3,5,3,2,2,1,2,2,4,3,Analytical,Visual,Work with Data,Data Analyst
U00127,4,2,2,2,1,5,3,5,3,2,2,2,2,1,5,3,Analytical,Project-Based,Work with Data,Data Analyst
U00128,3,3,3,2,2,4,5,5,3,1,3,1,1,1,5,3,Analytical,Project-Based,Work with Data,Data Analyst
U00129,4,3,2,1,2,4,4,4,4,3,3,2,2,2,5,2,Analytical,Visual,Work with Data,Data Analyst
U00130,5,2,3,2,1,4,3,5,5,3,2,2,1,2,5,3,Analytical,Visual,Exploring Options,Data Analyst
U00131,5,4,4,1,1,5,3,4,4,1,2,2,2,1,4,2,Analytical,Practical,Exploring Options,Data Analyst
U00132,5,3,3,2,1,4,3,4,3,3,5,1,2,1,4,3,Analytical,Project-Based,Exploring Options,Data Analyst
U00133,5,2,2,1,2,4,3,4,3,3,4,1,3,1,4,3,Analytical,Visual,Work with Data,Data Analyst
U00134,5,2,3,1,2,5,3,4,3,2,2,2,1,1,5,2,Analytical,Visual,Work with Data,Data Analyst
U00135,5,3,3,2,2,4,4,4,3,1,1,1,1,2,3,1,Analytical,Practical,Work with Data,Data Analyst
U00136,4,5,4,1,2,5,4,4,4,3,5,1,2,1,5,3,Analytical,Practical,Exploring Options,Data Analyst
U00137,3,2,3,2,2,4,3,4,3,1,4,1,1,2,4,2,Analytical,Practical,Exploring Options,Data Analyst
U00138,5,5,3,2,2,5,4,4,3,3,3,2,2,1,5,3,Analytical,Visual,Exploring Options,Data Analyst
U00139,4,4,2,2,2,4,5,5,4,1,2,1,1,1,3,2,Analytical,Practical,Exploring Options,Data Analyst
U00140,4,4,2,1,1,5,3,3,5,1,4,2,1,1,5,2,Analytical,Project-Based,Exploring Options,Data Analyst
U00141,4,2,2,2,1,4,4,5,3,1,3,2,2,1,4,3,Analytical,Practical,Exploring Options,Data Analyst
U00142,5,2,2,2,2,3,4,4,4,2,3,1,2,2,4,2,Analytical,Project-Based,Work with Data,Data Analyst
U00143,3,4,3,1,1,5,5,4,4,3,2,1,1,1,5,3,Analytical,Project-Based,Exploring Options,Data Analyst
U00144,4,3,2,1,2,5,4,4,3,3,3,2,1,1,5,2,Analytical,Visual,Exploring Options,Data Analyst
U00145,5,3,3,2,1,5,3,5,3,3,4,1,2,1,5,2,Analytical,Project-Based,Work with Data,Data Analyst
U00146,5,5,3,2,1,4,5,3,2,3,3,2,2,1,5,1,Analytical,Project-Based,Exploring Options,Data Analyst
U00147,4,3,2,1,2,4,4,5,3,3,3,2,1,2,4,2,Analytical,Practical,Work with Data,Data Analyst
U00148,4,4,3,1,2,5,2,4,3,1,2,2,2,1,3,2,Analytical,Practical,Exploring Options,Data Analyst
U00149,5,4,3,2,2,5,4,5,4,1,3,2,2,1,3,2,Analytical,Project-Based,Exploring Options,Data Analyst
U00150,5,3,1,1,1,4,4,5,4,1,2,2,1,2,5,3,Analytical,Project-Based,Exploring Options,Data Analyst
U00151,5,4,3,1,2,3,3,5,3,1,2,1,1,2,5,2,Analytical,Practical,Work with Data,Data Analyst
U00152,4,4,1,2,1,5,4,4,4,1,2,2,1,1,4,3,Analytical,Visual,Exploring Options,Data Analyst
U00153,5,2,4,1,2,4,4,5,4,2,4,2,1,1,3,3,Analytical,Practical,Exploring Options,Data Analyst
U00154,5,2,2,2,2,4,2,5,4,1,3,2,2,3,4,3,Analytical,Practical,Work with Data,Data Analyst
U00155,4,4,2,1,2,5,5,3,4,4,4,1,1,1,5,3,Analytical,Visual,Work with Data,Data Analyst
U00156,5,4,3,1,2,4,4,4,3,3,2,1,2,1,4,2,Analytical,Practical,Exploring Options,Data Analyst
U00157,5,4,3,2,1,5,3,5,3,1,2,2,1,2,5,2,Analytical,Visual,Work with Data,Data Analyst
U00158,5,4,2,2,2,4,5,5,4,1,4,1,2,1,5,2,Analytical,Visual,Work with Data,Data Analyst
U00159,4,4,2,1,1,5,4,5,3,1,4,2,3,2,3,2,Analytical,Practical,Exploring Options,Data Analyst
U00160,4,4,3,1,1,4,4,4,3,1,3,2,2,2,5,2,Analytical,Visual,Work with Data,Data Analyst
U00161,5,3,2,2,1,3,3,4,4,2,1,2,1,1,4,3,Analytical,Project-Based,Work with Data,Data Analyst
U00162,5,3,2,1,2,5,4,5,3,2,4,1,2,2,2,3,Analytical,Practical,Exploring Options,Data Analyst
U00163,4,2,3,2,2,4,3,5,4,1,3,3,1,1,4,2,Analytical,Project-Based,Exploring Options,Data Analyst
U00164,5,4,2,2,1,3,4,5,3,2,4,1,2,2,5,3,Analytical,Visual,Work with Data,Data Analyst
U00165,5,4,3,1,2,4,4,4,2,2,4,1,3,2,4,2,Analytical,Project-Based,Work with Data,Data Analyst
U00166,4,4,3,2,2,5,4,4,3,2,2,1,2,1,4,2,Analytical,Practical,Exploring Options,Data Analyst
U00167,5,3,2,2,1,4,4,5,4,2,4,2,2,1,5,1,Analytical,Practical,Work with Data,Data Analyst
U00168,3,5,2,1,2,5,3,4,3,2,4,2,1,1,4,3,Analytical,Project-Based,Exploring Options,Data Analyst
U00169,4,2,3,1,1,4,4,5,3,1,4,1,1,1,2,2,Analytical,Project-Based,Work with Data,Data Analyst
U00170,5,3,2,1,2,4,4,5,3,1,4,1,2,1,3,1,Analytical,Practical,Exploring Options,Data Analyst
U00171,5,4,3,1,1,5,4,4,4,2,2,1,2,2,3,1,Analytical,Visual,Work with Data,Data Analyst
U00172,5,1,2,1,1,4,4,5,4,3,4,1,2,2,5,2,Analytical,Visual,Work with Data,Data Analyst
U00173,5,3,2,1,1,4,4,5,4,1,4,2,1,1,3,3,Analytical,Visual,Exploring Options,Data Analyst
U00174,5,2,3,3,2,3,4,4,3,1,2,1,2,2,4,2,Analytical,Practical,Work with Data,Data Analyst
U00175,5,3,2,2,1,4,4,5,4,2,3,1,1,1,4,2,Analytical,Practical,Exploring Options,Data Analyst
U00176,4,3,2,2,2,4,3,5,4,3,4,2,2,1,4,3,Analytical,Visual,Exploring Options,Data Analyst
U00177,4,3,2,2,3,4,3,5,3,1,2,2,1,2,5,3,Analytical,Project-Based,Exploring Options,Data Analyst
U00178,4,3,3,3,1,4,4,4,3,1,3,1,2,1,4,3,Analytical,Practical,Exploring Options,Data Analyst
U00179,4,4,2,2,1,4,2,5,3,2,4,1,3,1,5,3,Analytical,Visual,Exploring Options,Data Analyst
U00180,4,2,3,1,2,5,2,5,3,3,1,2,3,2,3,3,Analytical,Visual,Exploring Options,Data Analyst
U00181,5,3,3,1,1,5,4,5,4,1,4,1,1,1,3,3,Analytical,Project-Based,Work with Data,Data Analyst
U00182,5,4,2,1,1,4,3,5,4,2,2,2,2,1,5,2,Analytical,Practical,Work with Data,Data Analyst
U00183,5,4,3,1,2,4,3,4,3,3,2,2,1,2,5,2,Analytical,Visual,Exploring Options,Data Analyst
U00184,4,4,3,1,1,4,4,5,4,3,4,2,1,1,5,3,Analytical,Visual,Work with Data,Data Analyst
U00185,4,3,3,1,1,5,3,3,3,1,3,1,1,2,5,3,Analytical,Project-Based,Work with Data,Data Analyst
U00186,5,4,3,3,1,5,4,4,4,3,2,2,3,2,5,3,Analytical,Practical,Work with Data,Data Analyst
U00187,4,2,2,2,1,5,3,5,3,2,4,2,1,1,4,2,Analytical,Practical,Work with Data,Data Analyst
U00188,5,4,4,2,1,4,4,4,4,2,3,1,2,2,5,2,Analytical,Visual,Work with Data,Data Analyst
U00189,4,2,3,2,2,5,4,3,4,2,4,2,1,2,3,2,Analytical,Project-Based,Work with Data,Data Analyst
U00190,5,4,2,2,2,4,3,3,3,2,4,2,1,2,5,3,Analytical,Practical,Exploring Options,Data Analyst
U00191,4,4,3,1,2,4,4,4,3,3,3,2,1,2,2,2,Analytical,Visual,Exploring Options,Data Analyst
U00192,3,4,2,1,2,5,4,4,3,2,4,1,1,2,5,2,Analytical,Project-Based,Exploring Options,Data Analyst
U00193,5,3,1,1,1,4,3,5,4,1,4,2,2,1,3,2,Analytical,Practical,Work with Data,Data Analyst
U00194,5,2,3,2,1,5,4,5,3,3,2,2,1,2,3,3,Analytical,Project-Based,Work with Data,Data Analyst
U00195,5,4,3,1,1,5,4,3,4,2,3,2,1,2,3,3,Analytical,Project-Based,Work with Data,Data Analyst
U00196,4,2,4,2,1,4,4,4,3,2,1,2,2,2,4,3,Analytical,Project-Based,Work with Data,Data Analyst
U00197,4,2,2,1,1,5,3,5,3,1,3,1,1,2,4,3,Analytical,Project-Based,Exploring Options,Data Analyst
U00198,5,3,3,1,2,4,4,4,4,2,4,1,2,1,3,2,Analytical,Project-Based,Exploring Options,Data Analyst
U00199,5,3,3,1,2,4,4,5,4,1,3,1,2,2,3,2,Analytical,Visual,Work with Data,Data Analyst
U00200,5,5,3,1,2,5,4,5,4,3,3,1,1,1,4,2,Analytical,Project-Based,Work with Data,Data Analyst
U00201,4,5,2,1,1,4,3,4,3,2,4,2,2,1,4,3,Analytical,Practical,Work with Data,Data Analyst
U00202,5,4,3,3,1,4,3,4,4,2,3,1,1,1,4,2,Analytical,Visual,Work with Data,Data Analyst
U00203,5,5,2,2,2,4,4,5,4,3,3,1,2,2,4,3,Analytical,Practical,Work with Data,Data Analyst
U00204,5,3,2,3,1,5,2,5,3,2,2,1,2,2,4,3,Analytical,Project-Based,Exploring Options,Data Analyst
U00205,5,5,3,2,1,5,4,4,3,2,3,2,1,1,3,3,Analytical,Visual,Work with Data,Data Analyst
U00206,5,5,3,1,1,5,3,4,4,3,4,2,1,2,3,2,Analytical,Practical,Work with Data,Data Analyst
U00207,5,4,3,2,1,4,4,5,5,1,3,1,2,1,4,2,Analytical,Practical,Work with Data,Data Analyst
U00208,5,5,2,1,2,5,4,4,3,3,3,1,1,1,3,2,Analytical,Visual,Exploring Options,Data Analyst
U00209,4,4,1,1,2,4,4,4,4,1,2,2,2,1,3,4,Analytical,Visual,Exploring Options,Data Analyst
U00210,4,3,3,1,1,5,5,5,4,2,2,3,1,2,4,3,Analytical,Practical,Work with Data,Data Analyst
U00211,4,4,2,2,2,5,4,4,4,1,3,2,1,1,3,2,Analytical,Project-Based,Exploring Options,Data Analyst
U00212,4,1,2,1,2,4,4,4,2,2,2,2,2,1,5,3,Analytical,Visual,Work with Data,Data Analyst
U00213,4,4,3,3,1,5,4,4,3,2,4,1,1,2,4,4,Analytical,Project-Based,Work with Data,Data Analyst
U00214,5,3,3,1,1,3,5,4,3,1,4,2,1,1,3,2,Analytical,Project-Based,Work with Data,Data Analyst
U00215,5,4,2,2,2,4,2,4,3,1,3,1,2,3,3,2,Analytical,Visual,Exploring Options,Data Analyst
U00216,4,4,3,2,1,5,4,4,4,2,3,1,2,1,3,2,Analytical,Visual,Work with Data,Data Analyst
U00217,5,2,2,2,2,4,4,5,4,2,3,1,1,1,5,2,Analytical,Practical,Work with Data,Data Analyst
U00218,5,4,2,1,1,5,4,4,3,1,2,1,1,1,3,3,Analytical,Visual,Work with Data,Data Analyst
U00219,5,3,2,2,2,4,5,4,4,3,4,2,2,1,4,4,Analytical,Visual,Work with Data,Data Analyst
U00220,4,5,2,1,1,4,4,5,3,2,2,2,1,3,3,2,Analytical,Project-Based,Exploring Options,Data Analyst
U00221,5,3,2,2,2,3,5,4,4,2,2,2,2,1,3,3,Analytical,Practical,Work with Data,Data Analyst
U00222,3,3,3,2,2,5,3,4,4,3,3,1,3,2,4,3,Analytical,Project-Based,Work with Data,Data Analyst
U00223,4,2,3,2,1,5,4,4,3,2,4,2,1,1,5,2,Analytical,Visual,Work with Data,Data Analyst
U00224,4,3,2,2,1,5,4,4,4,1,2,1,1,2,3,3,Analytical,Visual,Work with Data,Data Analyst
U00225,3,5,3,1,2,5,4,5,4,2,3,1,3,1,3,3,Analytical,Visual,Exploring Options,Data Analyst
U00226,4,2,2,2,1,5,4,4,4,1,4,2,2,1,5,3,Analytical,Visual,Work with Data,Data Analyst
U00227,5,5,4,3,1,3,3,4,4,3,4,2,2,1,3,2,Analytical,Practical,Exploring Options,Data Analyst
U00228,5,2,4,1,1,5,5,4,4,1,2,3,2,1,3,2,Analytical,Visual,Work with Data,Data Analyst
U00229,5,3,2,1,1,5,4,5,4,1,2,1,2,1,4,3,Analytical,Project-Based,Exploring Options,Data Analyst
U00230,4,3,3,2,2,5,3,5,4,1,3,2,1,2,5,3,Analytical,Practical,Work with Data,Data Analyst
U00231,5,5,2,1,2,4,3,5,3,2,3,2,1,1,3,2,Analytical,Practical,Work with Data,Data Analyst
